Month,Rainfall
2009-01,0
2009-02,0
2009-03,1.58
2009-04,2.35
2009-05,2.7
2009-06,12.25
2009-07,54.75
2009-08,6.4
2009-09,5.65
2009-10,2.75
2009-11,4.45
2009-12,3.3
2010-01,0
2010-02,0
2010-03,0
2010-04,2.25
2010-05,1.45
2010-06,20.25
2010-07,19.15
2010-08,12.6
2010-09,11.2
2010-10,7.55
2010-11,6
2010-12,0.1
2011-01,0
2011-02,0
2011-03,0
2011-04,6.65
2011-05,1.75
2011-06,30.05
2011-07,16.35
2011-08,13.7
2011-09,13.4
2011-10,4.45
2011-11,1.75
2011-12,0.05
2012-01,0
2012-02,0.25
2012-03,0.35
2012-04,4.05
2012-05,1.25
2012-06,15.1
2012-07,7.4
2012-08,22.75
2012-09,9.3
2012-10,6
2012-11,3.75
2012-12,0.3
2013-01,0
2013-02,0.15
2013-03,1.05
2013-04,1.25
2013-05,1.1
2013-06,21.45
2013-07,34.65
2013-08,9.5
2013-09,7.55
2013-10,4.85
2013-11,0.4
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,26.05
2014-08,16.65
2014-09,12
2014-10,2.45
2014-11,0.5
2014-12,0.58
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,35.35
2015-07,9.05
2015-08,5.7
2015-09,10.8
2015-10,6
2015-11,3.8
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0.4
2016-05,5.7
2016-06,16.1
2016-07,12.8
2016-08,7.45
2016-09,3.65
2016-10,0.25
2016-11,0.2
2016-12,2.2
2017-01,1
2017-02,0
2017-03,0.1
2017-04,1.75
2017-05,5.3
2017-06,17.05
2017-07,15.5
2017-08,16.85
2017-09,13.55
2017-10,3
2017-11,0.75
2017-12,1.25
2018-01,0
2018-02,0
2018-03,0.85
2018-04,2.65
2018-05,9.65
2018-06,34.05
2018-07,26.25
2018-08,29.55
2018-09,2.3
2018-10,3.9
2018-11,0.95
2018-12,0.25
2019-01,0
2019-02,0
2019-03,0
2019-04,2.05
2019-05,3.95
2019-06,13.4
2019-07,20.75
2019-08,62.85
2019-09,18.4
2019-10,10.95
2019-11,0.45
2019-12,1.5
2020-01,0
2020-02,0
2020-03,0.2
2020-04,2.3
2020-05,4.45
2020-06,17.5
2020-07,18.5
2020-08,34.1
2020-09,21.85
2020-10,6.45
2020-11,0.4
2020-12,1
2021-01,1.25
2021-02,0
2021-03,0.5
2021-04,2.7
2021-05,11.8
2021-06,23.2
2021-07,22
2021-08,13.95
2021-09,11.9
2021-10,13.3
2021-11,3.4
2021-12,0
2022-01,0
2022-02,0.1
2022-03,0.8
2022-04,5.4
2022-05,10.7
2022-06,11.05
2022-07,33.15
2022-08,20.25
2022-09,13.2
2022-10,3.75
2022-11,0.85
2022-12,0.4
2023-01,0.8
2023-02,0
2023-03,0.1
2023-04,1.4
2023-05,3.45
2023-06,5.95
2023-07,23.75
2023-08,2.75
2023-09,16.85
2023-10,8.25
2023-11,3.45
2023-12,0
